License #,Status,Entity Name,Trade Name,Address,Class,Type 
A BRA -096523,Active,Juanitas Inc.,Okapi,"4811 GEORGIA AVE NW, WASHINGTON, DC 20011",C,Tavern 
A BRA -096761,Active,"Sixth and H Street Bar and Grill, LLC",Sixth and H Street Bar and Grill,"523 H ST NE, WASHINGTON, DC 20002",C,Tavern 
A BRA -096771,Active,THE ELROY BAR LLC,THE ELROY,"1423 H ST NE, WASHINGTON, DC 20002",C,Tavern 
A BRA -096779,Active,"Naomi's Ladder, LLC",Touche,"1123 H ST NE, WASHINGTON, DC 20002",C,Tavern 
A BRA -097074,Active,"DeSales Restaurant Group, LLC",Parlay,"1827 M ST NW, WASHINGTON, DC 20036",C,Tavern 
A BRA -097277,Active,Lemlem Gebrewahd,Freedom Lounge,"1920 9TH ST NW, WASHINGTON, DC 20001",C,Tavern 
A BRA -097367,Active,Precious Pies and Catering LLC,Layla Lounge,"501 MORSE ST NE, WASHINGTON, DC 20002",C,Tavern 
A BRA -097412,Active,WW641 S St LLC,We Work,"641 S ST NW, WASHINGTON, DC 20001",C,Tavern 
A BRA -097569,Active,DEW DROP INN LLC,Dew Drop Inn,"2801 8TH ST NE, WASHINGTON, DC 20017",C,Tavern 
A BRA -097647,Active,"WW 1875 Connecticut Ave, LLC",We Work,"1875 CONNECTICUT AVE NW, WASHINGTON, DC 20009",C,Tavern 
A BRA -097654,Active,WW 718 7th Street LLC,We Work,"718 7TH ST NW, WASHINGTON, DC 20001",C,Tavern 
A BRA -097687,Active,TNR Mass Ave Corp.,Philos Mezze & Wine Bar,"401 MASSACHUSETTS AVE NW, WASHINGTON, DC 20001",C,Tavern 
A BRA -097774,Active,"TG CIGARS, INC",TG Cigars,"1118 9TH ST NW, #00001, WASHINGTON, DC 20001",C,Tavern 
A BRA -097821,Active,"Last Laugh, LLC",High Dive,"2337 18TH ST NW, WASHINGTON, DC 20036",C,Tavern 
A BRA -097968,Active,"Cathedral Lane, LLC",Bourbon,"2321 18TH ST NW, Washington, DC 20009",C,Tavern 
A BRA -097981,Active,E&K Real LLC,Nido,"2214 RHODE ISLAND AVE NE, Washington, DC 20018",C,Tavern 
A BRA -098037,Active,520 Florida Avenue Restaurant LLC,Shaws Tavern,"520 FLORIDA AVE NW, WASHINGTON, DC 20001",C,Tavern 
A BRA -098174,Active,"PHCDC1, LLC",Quarter & Glory,"2017 14TH ST NW, Washington, DC 20009",C,Tavern 
A BRA -098175,Active,819 UPSHUR STREET LLLC,TWISTED HORN,"819 UPSHUR ST NW, WASHINGTON, DC 20011",C,Tavern 
A BRA -098331,Active,"1723 Dupont, LLC",Salty Dog Tavern,"1723 CONNECTICUT AVE NW, WASHINGTON, DC 20009",C,Tavern 
A BRA -098370,Active,ANYADO GROUP LLC,XO RESTAURANT & LOUNGE,"1426 L ST NW, WASHINGTON, DC 20005",C,Tavern 
A BRA -098733,Active,Ghost Lounge LLC,Cloak & Dagger,"1359 U ST NW, Washington, DC 20009",C,Tavern 
A BRA -098864,Active,The HR-57 Foundation,The Gallaudet Pavilion,"1399 5th ST NE, WASHINGTON, DC",C,Tavern 
A BRA -098880,Active,ANOTHER CUP OF DREAMS LLC,Serendipity,"3301 12TH ST NE, WASHINGTON, DC 20017",C,Tavern 
A BRA -098888,Active,Suns Cinema Inc.,Suns Cinema,"3107 MOUNT PLEASANT ST NW, WASHINGTON, DC 20010",C,Tavern 
A BRA -099133,Active,3632 GEORGIA HOSPITALITY LLC,WALTERS,"3632 GEORGIA AVE NW, WASHINGTON, DC",C,Tavern 
A BRA -099229,Active,In Stereo LLC,Trade,"1410 14TH ST NW, WASHINGTON, DC 20005",C,Tavern 
A BRA -099536,Active,"1327 Connecticut, LLC",The Manor,"1327 Connecticut AVE NW, WASHINGTON, DC",C,Tavern 
A BRA -099603,Active,"1336 U Street, LLC",Hawthorne,"1336 U ST NW, WASHINGTON, DC 20009",C,Tavern 
A BRA -099684,Active,TDJ LLC,Left Door,"1345 S ST NW, WASHINGTON, DC 20009",C,Tavern 
A BRA -099738,Active,"La Jambe, LLC",La Jambe,"1550 7TH ST NW, WASHINGTON, DC 20001",C,Tavern 
A BRA -099805,Active,"1831 M, LLC",1831,"1831 M ST NW, WASHINGTON, DC 20036",C,Tavern 
A BRA -099949,Active,"Sugar Factory Union Station, LLC",Sugar Factory,"50 MASSACHUSETTS AVE NE, WASHINGTON, DC 20002",C,Tavern 
A BRA -099955,Active,,SAX,"734 11th ST NW, Washington, DC 20001",C,Tavern 
A BRA -100018,Active,Madras Bar LLC,The Airedale,"3605 14TH ST NW, WASHINGTON, DC 20010",C,Tavern 
A BRA -100340,Active,Belay Abere,Amsterdam Lounge,"1208 U ST NW, WASHINGTON, DC 20009",C,Tavern 
A BRA -100438,Active,"Callister Technology and Entertainment, Inc.",Duffy's Irish Restaurant and Pub,"2106 VERMONT AVE NW, WASHINGTON, DC 20001",C,Tavern 
A BRA -101373,Active,MHF DC Operating IV LLC,Homewood Suites Convention Center,"465 NEW YORK AVE NW, WASHINGTON, DC 20001",C,Tavern 
A BRA -102576,Active,TILLMAN GROUP LLC,VIEUX CARRE,"1413 K ST NW, WASHINGTON, DC",C,Tavern 
A BRA -014759,Active,2718 Corporation,Chuck & Bill Bison Lounge,"2718 GEORGIA AVE NW, Washington, DC 20001",C,Tavern 
A BRA -060131,Active,"Restaurant Enterprises, Inc.",Smith Point,"1338 WISCONSIN AVE NW, Washington, DC 20007",C,Tavern 
A BRA -060567,Active,Jha Corporation,Recessions II,"1823 L ST NW, WASHINGTON, DC 20036",C,Tavern 
A BRA -071753,Active,"Kennedy Warren Club, LLC",Kennedy Warren Club LLC,"3133 CONNECTICUT AVE NW, Washington, DC 20008",C,Tavern 
A BRA -072472,Active,"Pilar Hospitality Group, LLC",Bar Pilar,"1833 14TH ST NW, Washington, DC 20009",C,Tavern 
A BRA -072633,Active,"18th Amendment, LLC",Barrel,"613 PENNSYLVANIA AVE SE, Washington, DC 20003",C,Tavern 
A BRA -072734,Active,"Red & Black, LLC",Vendetta,"1210 H ST NE, Washington, DC 20002",C,Tavern 
A BRA -072777,Active,"Rock and Roll Hotel, LLC",Rock N Roll Hotel,"1353 H ST NE, Washington, DC 20002",C,Tavern 
A BRA -073166,Active,"The Pug, LLC",The Pug/Toki Underground,"1234 H ST NE, WASHINGTON, DC 20002",C,Tavern 
A BRA -073443,Active,"Kovaler, LLC",Veranda,"1100 P ST NW, Washington, DC 20005",C,Tavern 
A BRA -073821,Active,"BBH, LLC",Cleveland Park Bar & Grill,"3421 CONNECTICUT AVE NW, Washington, DC 20008",C,Tavern 
A BRA -074073,Active,Levy Premium Foodservice Limited Partnership,Levy Restaurant at MCI Center - Capitol Club,"601 F ST NW, #C, Washington, DC 20004",C,Tavern 
A BRA -074241,Active,Asefu Alemayehu,Yegna,"1920 9TH ST NW, Washington, DC 20001",C,Tavern 
A BRA -074712,Active,"Dalunas, LLC",Marx Cafe American Bar,"3203 MT PLEASANT ST NW, Washington, DC 20010",C,Tavern 
A BRA -075284,Active,"Axis Bar & Grill, LLC",Sudhouse,"1340 U ST NW, Washington, DC 20009",C,Tavern 
A BRA -075811,Active,Liquid Inspiration Llc,Solly's U Street Tavern,"1942 11TH ST NW, Washington, DC 20001",C,Tavern 
